features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,1,Inf,Inf,1
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,7,Inf,Inf,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,3,Inf,3,3
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,3,5,Inf,3,5
JacksonGuitarguy,Inf,2,4,Inf,2,4
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,2,3,Inf,2,3
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,4,Inf,Inf,4
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,3,Inf,Inf,3
IHeartmyshihtzu,Inf,Inf,3,Inf,Inf,3
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
150c_vapour,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,5,Inf,Inf,5
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,5,1,Inf,5,1
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,1,1,4,0,1,4
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,2,Inf,Inf,2
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,2,3,Inf,2,3
FearDaNeard,Inf,Inf,5,Inf,Inf,5
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,1,1,4,0,1,4
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,2,4,Inf,2,4
GalaxyDelta9,Inf,2,2,Inf,2,2
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
veggielover24,Inf,Inf,Inf,Inf,Inf,Inf
veggielover24,Inf,Inf,Inf,Inf,Inf,Inf
veggielover24,Inf,Inf,Inf,Inf,Inf,Inf
veggielover24,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,4,5,Inf,4,5
RonaId_Trump,2,3,5,0,3,5
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,4,1,Inf,4,1
RonaId_Trump,Inf,4,1,Inf,4,1
RonaId_Trump,Inf,3,5,Inf,3,5
RonaId_Trump,Inf,3,5,Inf,3,5
RonaId_Trump,2,4,7,0,4,7
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,1,3,1,0,3,1
RonaId_Trump,Inf,Inf,3,Inf,Inf,3
RonaId_Trump,2,5,6,0,5,6
RonaId_Trump,1,4,2,0,4,2
RonaId_Trump,1,4,2,0,4,2
RonaId_Trump,Inf,4,6,Inf,4,6
RonaId_Trump,Inf,Inf,2,Inf,Inf,2
RonaId_Trump,Inf,2,1,Inf,2,1
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,2,1,1,0,1,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,1,1,0,1,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,1,4,1,0,4,1
RonaId_Trump,Inf,3,2,Inf,3,2
RonaId_Trump,1,3,1,0,3,1
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,7,Inf,Inf,7
RonaId_Trump,Inf,3,2,Inf,3,2
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,Inf,Inf,3,Inf,Inf,3
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,Inf,Inf,4,Inf,Inf,4
RonaId_Trump,Inf,Inf,8,Inf,Inf,8
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,1,1,1,0,1,1
Dexaan,Inf,1,4,Inf,1,4
Dexaan,1,2,4,0,2,4
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,2,3,Inf,2,3
Dexaan,1,1,1,0,1,1
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,Inf,Inf,5,Inf,Inf,5
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,2,4,Inf,2,4
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,2,2,Inf,2,2
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,2,4,Inf,2,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,2,1,1,0,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,Inf,2,1,Inf,2,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,1,2,Inf,1,2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,1,3,3,0,3,3
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,3,Inf,Inf,3
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,2,4,Inf,2,4
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,3,4,Inf,3,4
Heliocentrist,Inf,Inf,6,Inf,Inf,6
Asphyxiatinglaughter,1,1,3,0,1,3
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,3,Inf,Inf,3
FearLeadsToAnger,Inf,Inf,4,Inf,Inf,4
Tnargkiller,2,3,6,0,3,6
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,2,3,4,0,3,4
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,2,2,1,0,2,1
InVultusSolis,Inf,Inf,5,Inf,Inf,5
InVultusSolis,Inf,Inf,5,Inf,Inf,5
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,1,1,1,0,1,1
InVultusSolis,Inf,Inf,6,Inf,Inf,6
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,2,4,3,0,4,3
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,2,5,1,0,5,1
PhysicianDre,2,4,5,0,4,5
PhysicianDre,Inf,2,6,Inf,2,6
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,5,Inf,Inf,5
crazyike,Inf,3,6,Inf,3,6
woodukindly_bruh,Inf,Inf,8,Inf,Inf,8
woodukindly_bruh,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,7,Inf,Inf,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,5,Inf,Inf,5
PhysicianDre,Inf,4,5,Inf,4,5
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,6,Inf,Inf,6
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
woodukindly_bruh,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,7,Inf,Inf,7
damnthatsfuckinggood,Inf,4,1,Inf,4,1
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,2,Inf,3,2
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,7,Inf,3,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,1,Inf,Inf,1
PhysicianDre,Inf,Inf,6,Inf,Inf,6
PhysicianDre,Inf,Inf,3,Inf,Inf,3
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,6,Inf,Inf,6
JacksonGuitarguy,Inf,3,5,Inf,3,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,7,Inf,Inf,7
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,2,5,10,0,5,10
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,4,Inf,Inf,4
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,2,2,Inf,2,2
JacksonGuitarguy,Inf,Inf,3,Inf,Inf,3
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,5,Inf,3,5
Afasso,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,5,Inf,3,5
JacksonGuitarguy,Inf,2,2,Inf,2,2
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
Afasso,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,5,Inf,Inf,5
WadeK,2,4,5,0,4,5
WadeK,2,5,3,0,5,3
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,4,Inf,Inf,4
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,4,5,Inf,4,5
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
xENO_,Inf,Inf,Inf,Inf,Inf,Inf
xENO_,Inf,Inf,Inf,Inf,Inf,Inf
xENO_,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
xENO_,Inf,Inf,Inf,Inf,Inf,Inf
xENO_,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,4,Inf,Inf,4
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
Stolichnayaaa,Inf,Inf,Inf,Inf,Inf,Inf
shitpost12,Inf,Inf,Inf,Inf,Inf,Inf
shitpost12,Inf,Inf,Inf,Inf,Inf,Inf
shitpost12,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,6,Inf,Inf,6
headfullofmangos,Inf,4,6,Inf,4,6
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
dokkou,Inf,Inf,Inf,Inf,Inf,Inf
dokkou,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,5,Inf,Inf,5
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,7,Inf,Inf,7
RonaId_Trump,2,5,3,0,5,3
RonaId_Trump,Inf,3,4,Inf,3,4
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,1,Inf,3,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,2,5,0,2,5
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,1,1,0,1,1
Dexaan,Inf,1,2,Inf,1,2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,3,Inf,1,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,2,1,0,2,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,1,1,0,1,1
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,5,Inf,Inf,5
Dexaan,1,2,4,0,2,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,3,4,Inf,3,4
Dexaan,1,2,1,0,2,1
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,2,Inf,1,2
Dexaan,Inf,1,3,Inf,1,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,2,2,3,0,2,3
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,5,Inf,Inf,5
Dexaan,Inf,Inf,3,Inf,Inf,3
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,6,Inf,Inf,6
somekid66,Inf,5,6,Inf,5,6
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,10,Inf,Inf,10
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,5,9,Inf,5,9
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,4,8,Inf,4,8
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,8,Inf,Inf,8
somekid66,2,5,3,0,5,3
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,6,Inf,Inf,6
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,2,4,Inf,2,4
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,2,5,8,0,5,8
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,5,2,Inf,5,2
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,5,3,Inf,5,3
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,2,2,Inf,2,2
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,3,5,Inf,3,5
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,4,Inf,Inf,4
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,1,1,3,0,1,3
Asphyxiatinglaughter,Inf,Inf,2,Inf,Inf,2
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,2,Inf,Inf,2
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,7,Inf,Inf,7
Tnargkiller,Inf,Inf,8,Inf,Inf,8
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
screenwblues,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,4,Inf,Inf,4
