features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-20_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2,nn-20_gt-2,nn-2_gt-3,nn-5_gt-3,nn-10_gt-3,nn-20_gt-3,nn-2_gt-4,nn-5_gt-4,nn-10_gt-4,nn-20_gt-4
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
RonaId_Trump,NA,4,8,4,0,4,8,4,0,4,8,4,0,0,8,4
JacksonGuitarguy,NA,NA,4,2,0,NA,4,2,0,NA,4,2,0,0,4,2
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Afasso,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FromAPorcelainThrone,NA,NA,6,11,0,NA,6,11,0,NA,6,11,0,0,6,11
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,2,1,3,0,2,1,3,0,2,1,3,0,0,1,3
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,2,5,2,2,0,5,2,2,0,5,2,2,0,0,2,2
woodukindly_bruh,NA,5,7,13,0,5,7,13,0,5,7,13,0,0,7,13
150c_vapour,1,2,2,1,0,2,2,1,0,2,2,1,0,0,2,1
Dexaan,NA,NA,3,2,0,NA,3,2,0,NA,3,2,0,0,3,2
Dexaan,NA,NA,6,9,0,NA,6,9,0,NA,6,9,0,0,6,9
kodefuguru,NA,NA,4,5,0,NA,4,5,0,NA,4,5,0,0,4,5
RonaId_Trump,1,3,5,13,0,3,5,13,0,3,5,13,0,0,5,13
j_strange888,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,1,2,0,NA,1,2,0,NA,1,2,0,0,1,2
Dexaan,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
Dexaan,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Dexaan,NA,NA,2,7,0,NA,2,7,0,NA,2,7,0,0,2,7
kodefuguru,NA,1,1,3,0,1,1,3,0,1,1,3,0,0,1,3
woodukindly_bruh,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,2,2,2,3,0,2,2,3,0,2,2,3,0,0,2,3
Dexaan,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
PhysicianDre,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
dokkou,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,3,6,10,0,3,6,10,0,3,6,10,0,0,6,10
BigBrownDownTown,1,1,2,5,0,1,2,5,0,1,2,5,0,0,2,5
RedneckAvengers,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,5,10,0,NA,5,10,0,NA,5,10,0,0,5,10
RedneckAvengers,2,1,2,5,0,1,2,5,0,1,2,5,0,0,2,5
Heliocentrist,1,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
Heliocentrist,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
Heliocentrist,NA,NA,1,2,0,NA,1,2,0,NA,1,2,0,0,1,2
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,2,1,3,2,0,1,3,2,0,1,3,2,0,0,3,2
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,4,6,12,0,4,6,12,0,4,6,12,0,0,6,12
FearDaNeard,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,7,11,0,NA,7,11,0,NA,7,11,0,0,7,11
RonaId_Trump,NA,NA,9,16,0,NA,9,16,0,NA,9,16,0,0,9,16
PhysicianDre,NA,NA,8,5,0,NA,8,5,0,NA,8,5,0,0,8,5
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,2,3,7,0,2,3,7,0,2,3,7,0,0,3,7
InVultusSolis,2,3,6,9,0,3,6,9,0,3,6,9,0,0,6,9
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
InVultusSolis,NA,NA,6,9,0,NA,6,9,0,NA,6,9,0,0,6,9
RonaId_Trump,NA,5,8,2,0,5,8,2,0,5,8,2,0,0,8,2
RonaId_Trump,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
RonaId_Trump,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,16,0,NA,NA,16,0,NA,NA,16,0,0,NA,16
Heliocentrist,NA,NA,7,5,0,NA,7,5,0,NA,7,5,0,0,7,5
woodukindly_bruh,2,5,8,5,0,5,8,5,0,5,8,5,0,0,8,5
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,16,0,NA,NA,16,0,NA,NA,16,0,0,NA,16
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
kodefuguru,NA,NA,6,5,0,NA,6,5,0,NA,6,5,0,0,6,5
kodefuguru,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
FearLeadsToAnger,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
FearLeadsToAnger,NA,2,3,8,0,2,3,8,0,2,3,8,0,0,3,8
FearLeadsToAnger,NA,NA,3,2,0,NA,3,2,0,NA,3,2,0,0,3,2
kodefuguru,2,1,2,6,0,1,2,6,0,1,2,6,0,0,2,6
kodefuguru,NA,NA,6,3,0,NA,6,3,0,NA,6,3,0,0,6,3
kodefuguru,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
Heliocentrist,NA,NA,4,1,0,NA,4,1,0,NA,4,1,0,0,4,1
LouGossetJr,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
dokkou,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
kodefuguru,NA,NA,6,9,0,NA,6,9,0,NA,6,9,0,0,6,9
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,4,3,0,NA,4,3,0,NA,4,3,0,0,4,3
Heliocentrist,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
Beebeeb,1,2,2,8,0,2,2,8,0,2,2,8,0,0,2,8
woodukindly_bruh,NA,NA,NA,16,0,NA,NA,16,0,NA,NA,16,0,0,NA,16
PhysicianDre,2,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
JimmyHoffa1,NA,NA,6,3,0,NA,6,3,0,NA,6,3,0,0,6,3
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,1,2,4,8,0,2,4,8,0,2,4,8,0,0,4,8
RedneckAvengers,2,3,6,9,0,3,6,9,0,3,6,9,0,0,6,9
JacksonGuitarguy,NA,3,5,2,0,3,5,2,0,3,5,2,0,0,5,2
PhysicianDre,NA,4,7,14,0,4,7,14,0,4,7,14,0,0,7,14
woodukindly_bruh,NA,NA,10,6,0,NA,10,6,0,NA,10,6,0,0,10,6
woodukindly_bruh,NA,NA,2,2,0,NA,2,2,0,NA,2,2,0,0,2,2
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,2,3,5,7,0,3,5,7,0,3,5,7,0,0,5,7
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
somekid66,NA,5,7,11,0,5,7,11,0,5,7,11,0,0,7,11
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,2,4,8,15,0,4,8,15,0,4,8,15,0,0,8,15
WadeK,NA,NA,8,15,0,NA,8,15,0,NA,8,15,0,0,8,15
PhysicianDre,1,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
JacksonGuitarguy,NA,NA,4,2,0,NA,4,2,0,NA,4,2,0,0,4,2
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,2,3,0,NA,2,3,0,NA,2,3,0,0,2,3
Gillig4n,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
kodefuguru,2,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,1,7,0,NA,1,7,0,NA,1,7,0,0,1,7
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
shadeslayer0930,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,4,3,0,NA,4,3,0,NA,4,3,0,0,4,3
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ZXCVBNM9012,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
__worldpeace,1,1,2,3,0,1,2,3,0,1,2,3,0,0,2,3
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
Dexaan,NA,2,3,2,0,2,3,2,0,2,3,2,0,0,3,2
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
j_strange888,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,4,9,0,NA,4,9,0,NA,4,9,0,0,4,9
woodukindly_bruh,NA,NA,8,13,0,NA,8,13,0,NA,8,13,0,0,8,13
PhysicianDre,NA,NA,4,9,0,NA,4,9,0,NA,4,9,0,0,4,9
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
Dexaan,NA,NA,1,1,0,NA,1,1,0,NA,1,1,0,0,1,1
Dexaan,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
Dexaan,2,2,2,6,0,2,2,6,0,2,2,6,0,0,2,6
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,8,12,0,NA,8,12,0,NA,8,12,0,0,8,12
Dexaan,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
Dexaan,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
componentfield,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
componentfield,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,2,4,1,0,2,4,1,0,2,4,1,0,0,4,1
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
ZXCVBNM9012,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,9,15,0,NA,9,15,0,NA,9,15,0,0,9,15
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,9,14,0,NA,9,14,0,NA,9,14,0,0,9,14
JacksonGuitarguy,NA,NA,4,4,0,NA,4,4,0,NA,4,4,0,0,4,4
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,2,4,2,4,0,4,2,4,0,4,2,4,0,0,2,4
ShouldBeAnUpvoteGif,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
ShouldBeAnUpvoteGif,NA,3,5,4,0,3,5,4,0,3,5,4,0,0,5,4
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,3,2,0,1,3,2,0,1,3,2,0,0,3,2
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,3,2,0,NA,3,2,0,NA,3,2,0,0,3,2
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,7,2,0,NA,7,2,0,NA,7,2,0,0,7,2
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
JacksonGuitarguy,NA,NA,5,2,0,NA,5,2,0,NA,5,2,0,0,5,2
kodefuguru,NA,3,4,3,0,3,4,3,0,3,4,3,0,0,4,3
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,4,8,0,NA,4,8,0,NA,4,8,0,0,4,8
Asphyxiatinglaughter,NA,NA,5,6,0,NA,5,6,0,NA,5,6,0,0,5,6
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,4,6,0,NA,4,6,0,NA,4,6,0,0,4,6
screenwblues,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,1,4,2,1,0,4,2,1,0,4,2,1,0,0,2,1
Heliocentrist,NA,NA,5,2,0,NA,5,2,0,NA,5,2,0,0,5,2
kvltwarrior98,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,3,5,0,NA,3,5,0,NA,3,5,0,0,3,5
kvltwarrior98,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,NA,4,8,0,NA,4,8,0,NA,4,8,0,0,4,8
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kvltwarrior98,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
somekid66,2,4,8,13,0,4,8,13,0,4,8,13,0,0,8,13
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,7,12,0,NA,7,12,0,NA,7,12,0,0,7,12
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,4,3,0,NA,4,3,0,NA,4,3,0,0,4,3
Dexaan,NA,NA,4,1,0,NA,4,1,0,NA,4,1,0,0,4,1
Dexaan,NA,2,4,8,0,2,4,8,0,2,4,8,0,0,4,8
Dexaan,1,2,2,4,0,2,2,4,0,2,2,4,0,0,2,4
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,4,7,0,NA,4,7,0,NA,4,7,0,0,4,7
PhysicianDre,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
damnthatsfuckinggood,NA,NA,3,8,0,NA,3,8,0,NA,3,8,0,0,3,8
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
PhysicianDre,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
